         359514 function calls (359216 primitive calls) in 1.855 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:6(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:6(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:6(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:6(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:6(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:6(Polynomial)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:112(Error)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:139(NoSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:147(DuplicateSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:155(NoOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:165(InterpolationError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:174(InterpolationMissingOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:188(InterpolationSyntaxError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:192(InterpolationDepthError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:204(ParsingError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:217(MissingSectionHeaderError)
        1    0.000    0.000    0.002    0.002 ConfigParser.py:231(RawConfigParser)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:232(__init__)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:248(sections)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:285(read)
        7    0.000    0.000    0.000    0.000 ConfigParser.py:373(optionxform)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:464(_read)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:558(_Chainmap)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:588(ConfigParser)
        3    0.000    0.000    0.000    0.000 ConfigParser.py:625(items)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:686(SafeConfigParser)
        7    0.000    0.000    0.000    0.000 ConfigParser.py:688(_interpolate)
        7    0.000    0.000    0.000    0.000 ConfigParser.py:696(_interpolate_some)
        1    0.000    0.000    0.003    0.003 ConfigParser.py:88(<module>)
        1    0.004    0.004    0.381    0.381 Driver.py:10(<module>)
        1    0.000    0.000    0.000    0.000 Driver.py:159(finalize)
    37500    0.017    0.000    0.030    0.000 Driver.py:166(compute_time_step)
        1    0.118    0.118    1.475    1.475 Driver.py:181(main)
        1    0.000    0.000    0.001    0.001 Driver.py:33(parse_command_line)
        1    0.000    0.000    0.001    0.001 Driver.py:50(parse_config_file)
        1    0.000    0.000    0.002    0.002 Driver.py:68(init)
        7    0.000    0.000    0.123    0.018 Grid.py:102(write_data)
        1    0.002    0.002    0.367    0.367 Grid.py:13(<module>)
        1    0.000    0.000    0.000    0.000 Grid.py:36(init)
